#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:54:32  59      38     1       12        5       95       86       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     1     0     45000  118000  840   someReplicaSet0011  SEC
11:54:33  60      37     1       9         5       87       67       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.2%   0           0     0     0     0     36000  111000  840   someReplicaSet0011  SEC
11:54:34  54      44     1       13        4       94       67       0          1        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.4%   0           0     0     0     0     40000  95000   840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:54:35  66      38     1       9         5       93       72       0          0        49900000000  102000000000  26100000000  51700000000  22      somedatabase1  0.3%   0           0     0     0     0     49000  125000  840   someReplicaSet0011  SEC
11:54:36  66      41     1       10        4       95       83       0          0        49900000000  102000000000  26100000000  51700000000  18      somedatabase1  0.1%   0           0     0     0     0     57000  133000  840   someReplicaSet0011  SEC
11:54:37  55      42     1       8         5       93       68       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.4%   0           0     0     0     0     46000  101000  840   someReplicaSet0011  SEC
11:54:38  44      42     1       11        5       80       72       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.3%   0           0     0     0     0     46000  125000  840   someReplicaSet0011  SEC
11:54:39  57      31     1       14        5       93       45       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     41000  96000   840   someReplicaSet0011  SEC
11:54:40  56      36     1       13        5       94       69       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     44000  108000  840   someReplicaSet0011  SEC
11:54:41  58      33     1       6         5       82       64       0          1        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.4%   0           0     0     0     0     37000  117000  840   someReplicaSet0011  SEC
11:54:42  86      41     1       6         5       102      80       0          0        49900000000  102000000000  26100000000  51700000000  4       somedatabase1  0.3%   0           0     0     0     0     44000  124000  840   someReplicaSet0011  SEC
11:54:43  54      52     1       16        5       88       52       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.2%   0           0     0     0     0     51000  132000  840   someReplicaSet0011  SEC
11:54:44  74      45     1       16        5       98       83       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     55000  149000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:54:45  57      47     1       20        5       98       72       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.4%   0           0     0     0     0     47000  132000  840   someReplicaSet0011  SEC
11:54:46  58      48     1       14        5       93       73       0          0        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.2%   0           0     0     0     0     49000  120000  840   someReplicaSet0011  SEC
11:54:47  70      42     1       8         5       92       72       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.3%   0           0     0     0     0     54000  128000  840   someReplicaSet0011  SEC
11:54:48  53      38     1       13        5       86       62       0          1        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.3%   0           0     0     0     0     37000  107000  840   someReplicaSet0011  SEC
11:54:49  74      49     1       13        5       102      57       0          0        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.4%   0           0     0     0     0     55000  134000  840   someReplicaSet0011  SEC
11:54:50  58      38     1       11        5       86       75       0          0        49900000000  102000000000  26100000000  51700000000  4       somedatabase1  0.3%   0           0     0     0     0     42000  111000  840   someReplicaSet0011  SEC
11:54:51  60      57     1       9         4       87       64       0          0        49900000000  102000000000  26100000000  51700000000  21      somedatabase1  0.4%   0           0     0     0     0     67000  135000  840   someReplicaSet0011  SEC
11:54:52  64      42     1       15        5       99       71       0          0        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.3%   0           0     0     0     0     47000  105000  840   someReplicaSet0011  SEC
11:54:53  64      48     1       24        5       94       50       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     50000  116000  840   someReplicaSet0011  SEC
11:54:54  56      31     1       19        5       98       88       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     0     0     47000  136000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:54:55  71      59     1       7         4       93       85       0          1        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.3%   0           0     0     0     0     62000  150000  840   someReplicaSet0011  SEC
11:54:56  70      40     1       10        5       99       70       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.4%   0           0     0     0     0     48000  115000  840   someReplicaSet0011  SEC
11:54:57  71      45     1       10        5       90       75       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     50000  124000  840   someReplicaSet0011  SEC
11:54:58  73      41     1       17        5       103      76       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     0     0     45000  122000  840   someReplicaSet0011  SEC
11:54:59  75      35     1       10        5       96       70       0          0        49900000000  102000000000  26100000000  51700000000  5       somedatabase1  0.2%   0           0     0     0     0     37000  112000  840   someReplicaSet0011  SEC
11:55:00  82      33     1       14        5       99       62       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.4%   0           0     0     0     0     42000  109000  840   someReplicaSet0011  SEC
11:55:01  60      37     1       14        5       82       70       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.4%   0           0     0     0     0     37000  109000  840   someReplicaSet0011  SEC
11:55:02  61      36     1       13        5       96       77       0          1        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.1%   0           0     0     0     0     39000  108000  840   someReplicaSet0011  SEC
11:55:03  74      48     1       19        5       96       47       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.5%   0           0     0     0     0     45000  125000  840   someReplicaSet0011  SEC
11:55:04  71      55     1       9         5       94       53       0          0        49900000000  102000000000  26100000000  51700000000  5       somedatabase1  0.3%   0           0     0     0     0     48000  107000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:55:05  74      36     1       11        5       98       61       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.2%   0           0     0     0     0     49000  116000  840   someReplicaSet0011  SEC
11:55:06  56      41     1       9         5       94       84       0          0        49900000000  102000000000  26100000000  51700000000  20      somedatabase1  0.3%   0           0     0     1     0     48000  132000  840   someReplicaSet0011  SEC
11:55:07  58      42     1       5         5       85       73       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.3%   0           0     0     0     0     45000  119000  840   someReplicaSet0011  SEC
11:55:08  73      43     1       12        5       95       59       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.1%   0           0     1     0     0     44000  115000  840   someReplicaSet0011  SEC
11:55:09  67      41     1       8         4       90       60       0          1        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     0     0     45000  121000  840   someReplicaSet0011  SEC
11:55:10  43      41     1       13        5       86       81       0          0        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.4%   0           0     0     0     0     48000  121000  840   someReplicaSet0011  SEC
11:55:11  58      34     1       7         5       82       69       0          0        49900000000  102000000000  26100000000  51700000000  18      somedatabase2  0.3%   0           0     0     0     0     38000  107000  840   someReplicaSet0011  SEC
11:55:12  62      24     1       17        5       94       59       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.2%   0           0     0     0     0     31000  90000   840   someReplicaSet0011  SEC
11:55:13  65      30     1       14        5       94       58       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.3%   0           0     0     0     0     33000  102000  840   someReplicaSet0011  SEC
11:55:14  66      34     1       16        5       97       47       0          0        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.3%   0           0     0     0     0     39000  101000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:55:15  51      40     1       13        5       83       71       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     47000  117000  840   someReplicaSet0011  SEC
11:55:16  69      35     1       10        5       98       67       0          1        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     35000  100000  840   someReplicaSet0011  SEC
11:55:17  41      45     1       10        4       84       58       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.3%   0           0     0     0     0     45000  104000  840   someReplicaSet0011  SEC
11:55:18  46      32     1       13        5       86       68       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.3%   0           0     0     0     0     38000  105000  840   someReplicaSet0011  SEC
11:55:19  57      49     1       8         5       88       65       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.2%   0           0     0     0     0     55000  133000  840   someReplicaSet0011  SEC
11:55:20  67      30     1       10        5       91       70       0          0        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.3%   0           0     0     0     0     38000  110000  840   someReplicaSet0011  SEC
