#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:57:05  40      46     1       17        5       89       59       0          0        49900000000  102000000000  26100000000  51700000000  23      somedatabase1  0.2%   0           0     0     0     0     58000  119000  840   someReplicaSet0011  SEC
11:57:06  39      31     1       12        5       74       60       0          0        49900000000  102000000000  26100000000  51700000000  4       somedatabase1  0.4%   0           0     0     0     0     31000  86000   840   someReplicaSet0011  SEC
11:57:07  46      32     1       8         5       87       58       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.8%   0           0     0     0     0     34000  93000   840   someReplicaSet0011  SEC
11:57:08  33      32     1       8         5       72       47       0          1        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.3%   0           0     0     0     0     34000  97000   840   someReplicaSet0011  SEC
11:57:09  44      42     1       8         5       78       56       0          0        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.2%   0           0     0     0     0     43000  102000  840   someReplicaSet0011  SEC
11:57:10  46      31     1       14        5       83       60       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     38000  94000   840   someReplicaSet0011  SEC
11:57:11  37      27     1       15        5       88       76       0          0        49900000000  102000000000  26100000000  51700000000  9       local          0.4%   0           0     0     0     0     30000  99000   840   someReplicaSet0011  SEC
11:57:12  63      33     1       14        5       90       60       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.3%   0           0     0     0     0     37000  117000  840   someReplicaSet0011  SEC
11:57:13  54      28     1       11        5       83       67       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.2%   0           0     0     0     0     32000  112000  840   someReplicaSet0011  SEC
11:57:14  40      26     1       7         4       81       66       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     42000  103000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:57:15  47      33     1       9         5       91       76       0          1        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.5%   0           0     0     0     0     37000  121000  840   someReplicaSet0011  SEC
11:57:16  28      39     1       14        5       72       76       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.2%   0           0     0     0     0     41000  106000  840   someReplicaSet0011  SEC
11:57:17  38      42     1       8         5       85       70       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.2%   0           0     0     0     0     44000  98000   840   someReplicaSet0011  SEC
11:57:18  47      32     1       14        5       90       43       0          0        49900000000  102000000000  26100000000  51700000000  4       somedatabase1  0.3%   0           0     0     0     0     38000  97000   840   someReplicaSet0011  SEC
11:57:19  48      46     1       8         4       74       75       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.2%   0           0     0     0     0     57000  116000  840   someReplicaSet0011  SEC
11:57:20  35      37     1       16        5       82       65       0          0        49900000000  102000000000  26100000000  51700000000  5       somedatabase1  0.3%   0           0     0     0     0     41000  97000   840   someReplicaSet0011  SEC
11:57:21  38      45     1       15        5       86       70       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.4%   0           0     0     0     0     47000  106000  840   someReplicaSet0011  SEC
11:57:22  46      44     1       9         5       83       46       0          1        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.2%   0           0     0     0     0     44000  91000   840   someReplicaSet0011  SEC
11:57:23  41      51     1       10        5       85       70       0          0        49900000000  102000000000  26100000000  51700000000  22      somedatabase1  0.1%   0           0     0     0     0     58000  144000  840   someReplicaSet0011  SEC
11:57:24  40      39     1       16        5       83       78       0          0        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.2%   0           0     0     0     0     48000  106000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:57:25  50      45     1       11        5       88       76       0          0        49900000000  102000000000  26100000000  51700000000  18      somedatabase1  0.3%   0           1     0     1     0     53000  131000  840   someReplicaSet0011  SEC
11:57:26  57      32     1       14        5       84       73       0          0        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.2%   0           0     0     0     0     36000  102000  840   someReplicaSet0011  SEC
11:57:27  60      37     1       7         5       88       77       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.3%   0           0     0     0     0     43000  134000  840   someReplicaSet0011  SEC
11:57:28  54      40     1       10        5       91       56       0          0        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.3%   0           0     0     0     0     45000  106000  840   someReplicaSet0011  SEC
11:57:29  54      42     1       14        5       94       64       0          1        49900000000  102000000000  26100000000  51700000000  17      somedatabase1  0.2%   0           0     0     0     0     52000  107000  840   someReplicaSet0011  SEC
11:57:30  48      33     1       16        5       85       55       0          0        49900000000  102000000000  26100000000  51700000000  16      somedatabase1  0.3%   0           0     0     0     0     40000  97000   840   someReplicaSet0011  SEC
11:57:31  47      43     1       18        5       94       64       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     46000  102000  840   someReplicaSet0011  SEC
11:57:32  57      44     1       7         4       85       74       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.2%   0           0     0     0     0     47000  121000  840   someReplicaSet0011  SEC
11:57:33  38      49     1       13        5       79       52       0          0        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.3%   0           0     0     0     0     53000  112000  840   someReplicaSet0011  SEC
11:57:34  55      26     1       14        5       82       59       0          0        49900000000  102000000000  26100000000  51700000000  12      local          0.4%   0           0     0     0     0     36000  92000   840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:57:35  56      34     1       9         5       82       67       0          0        49900000000  102000000000  26100000000  51700000000  18      somedatabase1  0.3%   0           0     0     0     0     41000  112000  840   someReplicaSet0011  SEC
11:57:36  56      40     1       12        5       91       84       0          1        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.3%   0           0     0     0     0     50000  127000  840   someReplicaSet0011  SEC
11:57:37  45      36     1       15        5       87       72       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.2%   0           0     0     0     0     42000  113000  840   someReplicaSet0011  SEC
11:57:38  65      40     1       12        5       94       67       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     36000  132000  840   someReplicaSet0011  SEC
11:57:39  56      42     1       13        4       92       69       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     0     0     55000  128000  840   someReplicaSet0011  SEC
11:57:40  42      38     1       19        5       96       58       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.3%   0           0     0     0     0     39000  105000  840   someReplicaSet0011  SEC
11:57:41  52      39     1       16        5       85       68       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.4%   0           0     0     0     0     37000  104000  840   someReplicaSet0011  SEC
11:57:42  53      31     1       19        5       94       66       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.2%   0           0     0     0     0     37000  103000  840   someReplicaSet0011  SEC
11:57:43  58      32     1       14        5       85       50       0          1        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     44000  102000  840   someReplicaSet0011  SEC
11:57:44  45      44     1       13        5       89       60       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.3%   0           0     0     0     0     46000  110000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:57:45  72      45     1       18        5       98       74       0          0        49900000000  102000000000  26100000000  51700000000  18      somedatabase1  0.4%   0           0     0     0     0     57000  133000  840   someReplicaSet0011  SEC
11:57:46  43      44     1       14        5       86       73       0          0        49900000000  102000000000  26100000000  51700000000  16      somedatabase1  0.3%   0           0     0     0     0     50000  120000  840   someReplicaSet0011  SEC
11:57:47  66      42     1       15        5       96       66       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.3%   0           0     0     0     0     47000  114000  840   someReplicaSet0011  SEC
11:57:48  56      33     1       14        5       91       69       0          0        49900000000  102000000000  26100000000  51700000000  16      somedatabase1  0.3%   0           0     0     0     0     45000  122000  840   someReplicaSet0011  SEC
11:57:49  57      42     1       14        5       95       70       0          0        49900000000  102000000000  26100000000  51700000000  16      somedatabase1  0.3%   0           0     0     0     0     49000  119000  840   someReplicaSet0011  SEC
11:57:50  65      28     1       9         5       90       93       0          1        49900000000  102000000000  26100000000  51700000000  15      somedatabase2  0.3%   0           0     0     0     0     34000  124000  840   someReplicaSet0011  SEC
11:57:51  56      38     1       12        4       91       69       0          0        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.3%   0           0     0     0     0     50000  118000  840   someReplicaSet0011  SEC
11:57:52  52      49     1       22        5       98       83       0          0        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.3%   0           0     0     0     0     53000  129000  840   someReplicaSet0011  SEC
11:57:53  50      45     1       13        5       90       51       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.3%   0           0     0     0     0     57000  122000  840   someReplicaSet0011  SEC
11:57:54  65      44     1       11        5       101      52       0          0        49900000000  102000000000  26100000000  51700000000  4       somedatabase1  0.3%   0           0     0     0     0     43000  102000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:57:55  69      40     1       13        5       96       50       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.4%   0           0     0     0     0     46000  121000  840   someReplicaSet0011  SEC
11:57:56  61      44     1       15        5       97       69       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.1%   0           0     0     0     0     49000  119000  840   someReplicaSet0011  SEC
11:57:57  51      27     1       13        5       85       83       0          1        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.3%   0           0     0     0     0     43000  120000  840   someReplicaSet0011  SEC
11:57:58  66      38     1       22        5       94       51       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     49000  111000  840   someReplicaSet0011  SEC
11:57:59  72      38     1       18        4       100      57       0          0        49900000000  102000000000  26100000000  51700000000  18      somedatabase1  0.2%   0           0     0     0     0     44000  104000  840   someReplicaSet0011  SEC
11:58:00  56      42     1       10        5       92       69       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.3%   0           0     0     0     0     40000  110000  840   someReplicaSet0011  SEC
11:58:01  73      38     1       14        5       94       85       0          0        49900000000  102000000000  26100000000  51700000000  10      local          0.4%   0           0     0     0     0     45000  128000  840   someReplicaSet0011  SEC
11:58:02  68      35     1       18        5       97       69       0          0        49900000000  102000000000  26100000000  51700000000  16      somedatabase1  0.4%   0           0     0     0     0     42000  108000  840   someReplicaSet0011  SEC
11:58:03  57      46     1       8         5       79       67       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     49000  134000  840   someReplicaSet0011  SEC
11:58:04  62      42     1       20        5       92       67       0          1        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.3%   0           0     0     0     0     52000  121000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:58:05  60      46     1       19        5       98       60       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     0     0     48000  127000  840   someReplicaSet0011  SEC
11:58:06  58      38     1       21        4       87       65       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.4%   0           0     0     0     0     40000  113000  840   someReplicaSet0011  SEC
11:58:07  52      41     1       16        5       94       54       0          0        49900000000  102000000000  26100000000  51700000000  22      somedatabase1  0.3%   0           0     0     0     0     45000  111000  840   someReplicaSet0011  SEC
11:58:08  43      33     1       22        5       85       53       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     35000  99000   840   someReplicaSet0011  SEC
11:58:09  52      30     1       10        5       89       67       0          0        49900000000  102000000000  26100000000  51700000000  7       local          0.4%   0           0     0     0     0     33000  101000  840   someReplicaSet0011  SEC
11:58:10  58      44     1       23        5       99       57       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.4%   0           0     0     0     0     51000  126000  840   someReplicaSet0011  SEC
11:58:11  53      32     1       24        5       93       72       0          1        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.3%   0           0     0     0     0     36000  106000  840   someReplicaSet0011  SEC
11:58:12  58      34     1       11        5       95       64       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.3%   0           0     0     0     0     38000  86000   840   someReplicaSet0011  SEC
11:58:13  40      28     1       10        5       80       70       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.2%   0           0     0     0     0     37000  136000  840   someReplicaSet0011  SEC
11:58:14  43      29     1       11        5       82       53       0          0        49900000000  102000000000  26100000000  51700000000  5       somedatabase1  0.3%   0           0     0     0     0     38000  95000   840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:58:15  74      32     1       14        5       96       71       0          0        49900000000  102000000000  26100000000  51700000000  10      local          0.5%   0           0     0     0     0     38000  125000  840   someReplicaSet0011  SEC
11:58:16  41      44     1       13        5       80       67       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.2%   0           0     0     0     0     44000  109000  840   someReplicaSet0011  SEC
11:58:17  54      25     1       11        5       93       70       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.3%   0           0     0     0     0     40000  98000   840   someReplicaSet0011  SEC
11:58:18  55      27     1       14        5       97       49       0          1        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.4%   0           0     0     0     0     39000  104000  840   someReplicaSet0011  SEC
11:58:19  69      28     1       11        5       98       50       0          0        49900000000  102000000000  26100000000  51700000000  16      somedatabase1  0.3%   0           0     0     0     0     32000  89000   840   someReplicaSet0011  SEC
11:58:20  55      28     1       12        4       93       60       0          0        49900000000  102000000000  26100000000  51700000000  16      somedatabase1  0.6%   0           0     0     0     0     38000  110000  840   someReplicaSet0011  SEC
11:58:21  62      35     1       10        5       89       61       0          0        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.2%   0           0     0     0     0     42000  113000  840   someReplicaSet0011  SEC
11:58:22  49      43     1       9         5       84       71       0          0        49900000000  102000000000  26100000000  51700000000  17      somedatabase1  0.4%   0           0     0     0     0     46000  125000  840   someReplicaSet0011  SEC
11:58:23  46      38     1       10        5       85       36       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.3%   0           0     0     0     0     39000  99000   840   someReplicaSet0011  SEC
11:58:24  37      27     1       11        5       87       68       0          0        49900000000  102000000000  26100000000  51700000000  5       somedatabase1  0.3%   0           0     0     0     0     37000  100000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:58:25  58      28     1       11        5       90       57       0          1        49900000000  102000000000  26100000000  51700000000  7       local          0.4%   0           0     0     0     0     34000  94000   840   someReplicaSet0011  SEC
11:58:26  55      33     1       13        4       96       67       0          0        49900000000  102000000000  26100000000  51700000000  22      somedatabase2  0.3%   0           0     0     0     0     39000  120000  840   someReplicaSet0011  SEC
11:58:27  49      31     1       12        5       84       55       0          0        49900000000  102000000000  26100000000  51700000000  7       local          0.3%   0           0     0     0     0     29000  95000   840   someReplicaSet0011  SEC
11:58:28  59      37     1       13        5       87       55       0          0        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.3%   0           0     0     0     0     34000  113000  840   someReplicaSet0011  SEC
11:58:29  45      34     1       14        5       84       66       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.2%   0           0     0     0     0     46000  107000  840   someReplicaSet0011  SEC
11:58:30  33      28     1       9         5       64       65       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.1%   0           0     0     0     0     38000  103000  840   someReplicaSet0011  SEC
11:58:31  49      33     1       13        5       85       49       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.3%   0           0     0     0     0     43000  117000  840   someReplicaSet0011  SEC
11:58:32  47      31     1       18        5       86       61       0          1        49900000000  102000000000  26100000000  51700000000  8       local          0.4%   0           0     0     0     0     35000  109000  840   someReplicaSet0011  SEC
11:58:33  45      28     1       12        5       81       43       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.4%   0           0     0     0     0     30000  86000   840   someReplicaSet0011  SEC
11:58:34  36      42     1       2         5       67       73       0          0        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.2%   0           0     0     0     0     50000  113000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:58:35  65      36     1       9         5       84       71       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.2%   0           0     0     0     0     39000  120000  840   someReplicaSet0011  SEC
11:58:37  60      33     1       11        5       94       63       0          0        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.3%   0           0     0     0     0     46000  118000  840   someReplicaSet0011  SEC
11:58:38  56      36     1       10        5       92       53       0          0        49900000000  102000000000  26100000000  51700000000  5       somedatabase1  0.2%   0           0     0     0     0     44000  100000  840   someReplicaSet0011  SEC
11:58:39  45      40     1       8         5       83       62       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     0     0     41000  121000  840   someReplicaSet0011  SEC
11:58:40  58      37     1       15        5       92       59       0          1        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.3%   0           0     0     0     0     46000  101000  840   someReplicaSet0011  SEC
11:58:41  49      31     1       4         4       82       69       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.2%   0           0     0     0     0     34000  109000  840   someReplicaSet0011  SEC
11:58:42  36      35     1       9         5       72       67       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.3%   0           0     0     0     0     40000  103000  840   someReplicaSet0011  SEC
11:58:43  59      35     1       11        5       90       70       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.2%   0           0     0     0     0     37000  102000  840   someReplicaSet0011  SEC
11:58:44  50      42     1       13        5       84       57       0          0        49900000000  102000000000  26100000000  51700000000  22      somedatabase1  0.3%   0           0     0     0     0     48000  124000  840   someReplicaSet0011  SEC
11:58:45  31      44     1       7         5       68       76       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.2%   0           0     0     0     0     43000  103000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:58:46  34      42     1       13        5       79       56       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.3%   0           0     0     0     0     39000  98000   840   someReplicaSet0011  SEC
11:58:47  43      40     1       5         5       74       73       0          1        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.2%   0           0     0     0     0     42000  101000  840   someReplicaSet0011  SEC
11:58:48  60      50     1       12        5       95       75       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.3%   0           0     0     0     0     51000  133000  840   someReplicaSet0011  SEC
11:58:49  42      45     1       6         5       78       47       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.2%   0           0     0     0     0     47000  108000  840   someReplicaSet0011  SEC
11:58:50  47      37     1       13        5       86       59       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     44000  108000  840   someReplicaSet0011  SEC
11:58:51  54      40     1       8         5       89       66       0          0        49900000000  102000000000  26100000000  51700000000  4       somedatabase1  0.2%   0           0     0     0     0     47000  116000  840   someReplicaSet0011  SEC
11:58:52  41      45     1       14        4       76       58       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.4%   0           0     0     0     0     46000  105000  840   someReplicaSet0011  SEC
11:58:53  45      29     1       9         5       87       69       0          0        49900000000  102000000000  26100000000  51700000000  4       somedatabase1  0.2%   0           0     0     0     0     32000  101000  840   someReplicaSet0011  SEC
11:58:54  46      37     1       12        5       89       59       0          1        49900000000  102000000000  26100000000  51700000000  5       somedatabase1  0.5%   0           0     0     0     0     44000  104000  840   someReplicaSet0011  SEC
11:58:55  43      48     1       8         5       86       74       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.2%   0           0     0     0     0     47000  119000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:58:56  39      40     1       13        5       85       61       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.4%   0           0     0     0     0     46000  114000  840   someReplicaSet0011  SEC
11:58:57  40      45     1       12        5       86       59       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.2%   0           0     0     0     0     45000  99000   840   someReplicaSet0011  SEC
11:58:58  42      45     1       10        5       87       62       0          0        49900000000  102000000000  26100000000  51700000000  25      somedatabase1  0.3%   0           0     0     0     0     56000  110000  840   someReplicaSet0011  SEC
11:58:59  63      26     1       9         4       89       64       0          0        49900000000  102000000000  26100000000  51700000000  3       local          0.4%   0           0     0     0     0     24000  100000  840   someReplicaSet0011  SEC
11:59:00  56      23     1       11        5       94       54       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.2%   0           0     0     0     0     30000  93000   840   someReplicaSet0011  SEC
11:59:01  39      33     1       7         5       78       71       0          1        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.2%   0           0     0     0     0     38000  104000  840   someReplicaSet0011  SEC
11:59:02  45      35     1       9         4       86       60       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.3%   0           0     0     0     0     34000  82000   840   someReplicaSet0011  SEC
11:59:03  41      39     1       12        5       83       69       0          0        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.2%   0           0     0     0     0     51000  103000  840   someReplicaSet0011  SEC
11:59:04  53      30     1       14        5       90       67       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.2%   0           0     0     0     0     36000  121000  840   someReplicaSet0011  SEC
11:59:05  42      34     1       12        5       78       67       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.1%   0           0     0     0     0     44000  111000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:59:06  41      40     1       13        5       82       90       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.2%   0           0     0     0     0     42000  131000  840   someReplicaSet0011  SEC
11:59:07  53      43     1       17        5       85       62       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.4%   0           0     0     0     0     48000  111000  840   someReplicaSet0011  SEC
